order_id,item,category,quantity,rate,order_data,delivery_address,payment_method
1892,Spatula Set,Utensils,32,46604.12,2023-05-10,90 Ash Way - Tokyo - Japan,NFC
8740,Winter Coat,Clothing,404,13819.01,2026-01-26,98 Garden Boulevard - Karachi - Pakistan,Cash On Delivery
7546,Desk Organizer,Stationery,129,40510.99,2024-09-17,33 Pearl Square - Cebu - Philippines,Apple Pay
5389,Canned Tuna,Food,399,108109.61,2026-03-08,17 Lakeview Avenue - Vancouver - Canada,credit/debit cards
5330,Coffee Maker,Utensils,320,66151.4,2024-05-15,66 Fir Avenue - Stockholm - Sweden,Google Pay
9586,Sparkling Water,Beverages,123,23030.48,2025-09-08,65 Lighthouse Road - Odense - Denmark,Apple Pay
1859,Dark Chocolate,Food,268,41926.08,2024-02-08,47 Holly Drive - Helsinki - Finland,NFC
7974,Slippers,Footwear,33,127784.19,2024-06-17,90 Ash Way - Tokyo - Japan,NFC
3014,Vitamin C Tablets,Health & Wellness,394,57910.24,2024-02-26,79 Horizon Square - Lagos - Nigeria,Buy now pay later
1941,Laptop Stand,Electronics,178,59201.8,2024-10-14,77 Poplar Place - Seoul - South Korea,Apple Pay
6265,Peanut Butter,Food,221,20551.89,2023-10-07,46 Harbor Close - Aarhus - Denmark,Google Pay
10757,Sticky Notes,Stationery,99,40843.98,2024-08-24,83 Seaside Court - Wellington - New Zealand,Buy now pay later
8358,Peanut Butter,Food,211,109178.54,2025-09-16,43 Aztec Boulevard - Guadalajara - Mexico,Paypal
8612,Orange Juice,Beverages,228,105362.55,2023-07-21,66 Fir Avenue - Stockholm - Sweden,Buy now pay later
8175,Mixed Nuts,Food,135,58384.61,2025-07-24,10 Palm Place - Athens - Greece,Buy now pay later
8861,Granola,Food,544,119756.42,2025-10-03,77 Spice Lane - Ankara - Turkey,Cash On Delivery
6132,Coffee Beans,Tea & Coffee,165,50984.97,2023-03-04,55 Marina Close - Penang - Malaysia,credit/debit cards
2281,Jam,Food,112,115828.51,2025-03-11,13 Sunrise Close - Cairo - Egypt,Paypal
9398,Almond Milk,Beverages,311,4275.85,2024-08-03,43 Aztec Boulevard - Guadalajara - Mexico,Cash On Delivery
5504,Tennis Racket,Sports,186,46560.63,2025-01-26,45 Cobblestone Mews - Cork - Ireland,Cash On Delivery
6004,Windbreaker,Clothing,260,114587.94,2023-12-28,24 Alpine Square - Salzburg - Austria,Cash On Delivery
4708,Rain Jacket,Clothing,407,120782.15,2023-10-03,14 Pyramid Drive - Alexandria - Egypt,Cash On Delivery
2825,Action Figure,Toys & Games,56,101374.06,2023-12-19,59 Rainforest Avenue - Rio de Janeiro - Brazil,Paypal
10268,Fanny Pack,Bags & Accessories,289,89779.17,2023-07-18,94 Harborview Street - Hamburg - Germany,credit/debit cards
8816,Digital Camera,Electronics,25,109288.22,2024-05-04,92 Savanna Road - Johannesburg - South Africa,Buy now pay later
7439,Windbreaker,Clothing,37,94828.24,2025-10-24,45 Cobblestone Mews - Cork - Ireland,Cash On Delivery
5024,First Aid Kit,Health & Wellness,64,34101.59,2025-07-07,45 Elm Avenue - New York - USA,Google Pay
9228,Lollipops,Sweets & Snacks,101,62502.12,2023-08-17,11 Chestnut Close - Mumbai - India,Paypal
6454,Brownie Mix,Sweets & Snacks,203,88552.04,2024-10-26,94 Harborview Street - Hamburg - Germany,Apple Pay
5434,Jogger Pants,Clothing,520,78786.44,2023-04-17,13 Tundra Boulevard - Bergen - Norway,NFC
5505,Smart TV 55inch,Electronics,505,118610.48,2023-04-01,99 Beech Road - Oslo - Norway,NFC
3272,Toaster Oven,Utensils,69,63521.22,2025-01-12,79 Arctic Way - Tampere - Finland,Paypal
1921,Peppermint Tea,Tea & Coffee,551,23889.75,2024-01-06,78 Oak Lane - Toronto - Canada,Paypal
6546,Sketchbook,Stationery,358,28791.77,2025-04-13,36 Cypress Square - Madrid - Spain,Paypal
9879,Energy Drink,Beverages,314,113380.75,2023-07-21,61 Moorland Boulevard - Manchester - UK,Buy now pay later
1638,Gel Pens,Stationery,443,1215.71,2023-06-09,56 Pine Road - Auckland - New Zealand,NFC
9583,Pencil Case,Stationery,276,116471.6,2025-04-25,90 Forest Place - Ghent - Belgium,Cash On Delivery
9277,Rubik's Cube,Toys & Games,157,7493.79,2023-09-18,26 Beachfront Drive - Cancun - Mexico,NFC
3767,Probiotic Capsules,Health & Wellness,301,52511.99,2023-03-30,37 Canal Court - Rotterdam - Netherlands,credit/debit cards
7317,Sports Bag,Sports,406,107234.87,2025-07-19,48 Riverside Mews - Shanghai - China,Buy now pay later
2652,Building Blocks,Toys & Games,384,54649.5,2025-04-14,22 Temple Boulevard - Chiang Mai - Thailand,Apple Pay
8581,Deodorant,Beauty & Personal Care,106,110204.9,2025-12-28,68 Desert Road - Seville - Spain,Paypal
8005,Foam Roller,Sports,522,13483.0,2024-12-13,11 Volcano Avenue - Naples - Italy,NFC
4545,Coffee Beans,Tea & Coffee,168,68570.99,2024-07-24,25 Rowan Boulevard - Zurich - Switzerland,Apple Pay
1679,Laptop Bag,Bags & Accessories,458,78072.63,2025-03-05,22 Temple Boulevard - Chiang Mai - Thailand,Buy now pay later
10707,Hair Dryer,Beauty & Personal Care,183,119383.54,2025-07-23,99 Beech Road - Oslo - Norway,Google Pay
5457,Stapler,Stationery,48,12588.53,2025-01-16,78 Oak Lane - Toronto - Canada,Apple Pay
9932,Yo-Yo,Toys & Games,554,45404.65,2024-01-25,32 Aurora Drive - Stavanger - Norway,Google Pay
7779,Peeler,Utensils,333,88370.28,2025-11-13,99 Beech Road - Oslo - Norway,Apple Pay
8784,Protein Bar,Food,130,131313.74,2025-04-12,77 Poplar Place - Seoul - South Korea,Cash On Delivery
8599,Peeler,Utensils,14,113677.83,2025-10-29,54 Orchid Road - Kuala Lumpur - Malaysia,Buy now pay later
2946,Water Gun,Toys & Games,84,113439.49,2024-10-25,98 Sauna Court - Turku - Finland,NFC
4639,Coconut Water,Beverages,106,69326.53,2024-06-24,23 Promenade Drive - Munich - Germany,NFC
5667,Sports Bag,Sports,515,75638.02,2025-09-20,33 Pearl Square - Cebu - Philippines,Buy now pay later
5978,Frisbee,Sports,109,115058.34,2024-12-27,14 Laurel Lane - Copenhagen - Denmark,Paypal
1438,Can Opener,Utensils,101,116537.93,2025-07-04,90 Forest Place - Ghent - Belgium,Buy now pay later
6466,Marshmallows,Sweets & Snacks,468,107515.95,2025-11-13,12 Terrace Square - Christchurch - New Zealand,Buy now pay later
2543,Chess Set,Toys & Games,490,109698.97,2023-12-16,65 Petal Lane - Dhaka - Bangladesh,credit/debit cards
8434,Eraser Set,Stationery,127,117878.05,2023-09-02,69 Redwood Mews - Rome - Italy,Google Pay
7831,Webcam HD,Electronics,366,15289.12,2023-07-14,23 Promenade Drive - Munich - Germany,Cash On Delivery
10226,Portable Projector,Gadgets,303,39247.92,2024-12-14,55 Magnolia Mews - São Paulo - Brazil,Paypal
8448,Mechanical Keyboard,Electronics,326,130802.5,2025-08-10,10 Hanok Way - Incheon - South Korea,Cash On Delivery
4666,Cold Brew Coffee,Tea & Coffee,182,73022.83,2026-02-20,39 Vineyard Close - Lyon - France,NFC
10676,Chai Tea,Tea & Coffee,421,23685.66,2023-03-01,33 Pearl Square - Cebu - Philippines,NFC
5108,Wireless Charger,Electronics,491,67434.17,2023-01-24,46 Sunset Way - Nairobi - Kenya,Apple Pay
4258,External SSD,Electronics,407,86553.33,2025-03-15,88 Coral Way - Bali - Indonesia,Paypal
10056,Energy Drink,Beverages,503,110991.73,2023-11-29,43 Aztec Boulevard - Guadalajara - Mexico,Buy now pay later
4704,Tote Bag,Bags & Accessories,73,108842.39,2024-07-24,72 Meadow Way - Osaka - Japan,NFC
