order_id,item,quantity,rate,order_data,delivery_address,payment_method
1892,Knife Set,32,46604.12,2023-05-10,90 Ash Way - Tokyo - Japan,NFC
8740,Hooded Sweatshirt,404,13819.01,2026-01-26,98 Garden Boulevard - Karachi - Pakistan,Cash On Delivery
7546,Electric Toothbrush,129,40510.99,2024-09-17,33 Pearl Square - Cebu - Philippines,Apple Pay
5389,Index Cards,399,108109.61,2026-03-08,17 Lakeview Avenue - Vancouver - Canada,credit/debit cards
5330,Polo Shirt,320,66151.4,2024-05-15,66 Fir Avenue - Stockholm - Sweden,Google Pay
9586,Chess Set,123,23030.48,2025-09-08,65 Lighthouse Road - Odense - Denmark,Apple Pay
1859,File Folders,268,41926.08,2024-02-08,47 Holly Drive - Helsinki - Finland,NFC
7974,Hiking Boots,33,127784.19,2024-06-17,90 Ash Way - Tokyo - Japan,NFC
3014,Melatonin,394,57910.24,2024-02-26,79 Horizon Square - Lagos - Nigeria,Buy now pay later
1941,Smart Watch,178,59201.8,2024-10-14,77 Poplar Place - Seoul - South Korea,Apple Pay
6265,Correction Tape,221,20551.89,2023-10-07,46 Harbor Close - Aarhus - Denmark,Google Pay
10757,Dumbbells,99,40843.98,2024-08-24,83 Seaside Court - Wellington - New Zealand,Buy now pay later
8358,Correction Tape,211,109178.54,2025-09-16,43 Aztec Boulevard - Guadalajara - Mexico,Paypal
8612,Chess Set,228,105362.55,2023-07-21,66 Fir Avenue - Stockholm - Sweden,Buy now pay later
8175,Fanny Pack,135,58384.61,2025-07-24,10 Palm Place - Athens - Greece,Buy now pay later
8861,Correction Tape,544,119756.42,2025-10-03,77 Spice Lane - Ankara - Turkey,Cash On Delivery
6132,Green Tea,165,50984.97,2023-03-04,55 Marina Close - Penang - Malaysia,credit/debit cards
2281,Crossbody Bag,112,115828.51,2025-03-11,13 Sunrise Close - Cairo - Egypt,Paypal
9398,Frisbee,311,4275.85,2024-08-03,43 Aztec Boulevard - Guadalajara - Mexico,Cash On Delivery
5504,Mixing Bowl Set,186,46560.63,2025-01-26,45 Cobblestone Mews - Cork - Ireland,Cash On Delivery
6004,Ankle Boots,260,114587.94,2023-12-28,24 Alpine Square - Salzburg - Austria,Cash On Delivery
4708,Cotton T-Shirt,407,120782.15,2023-10-03,14 Pyramid Drive - Alexandria - Egypt,Cash On Delivery
2825,Highlighter Set,56,101374.06,2023-12-19,59 Rainforest Avenue - Rio de Janeiro - Brazil,Paypal
10268,Hair Dryer,289,89779.17,2023-07-18,94 Harborview Street - Hamburg - Germany,credit/debit cards
8816,Bluetooth Speaker,25,109288.22,2024-05-04,92 Savanna Road - Johannesburg - South Africa,Buy now pay later
7439,Ankle Boots,37,94828.24,2025-10-24,45 Cobblestone Mews - Cork - Ireland,Cash On Delivery
5024,Hand Sanitizer,64,34101.59,2025-07-07,45 Elm Avenue - New York - USA,Google Pay
9228,Baseball Cap,101,62502.12,2023-08-17,11 Chestnut Close - Mumbai - India,Paypal
6454,Jigsaw Puzzle,203,88552.04,2024-10-26,94 Harborview Street - Hamburg - Germany,Apple Pay
5434,Flip Flops,520,78786.44,2023-04-17,13 Tundra Boulevard - Bergen - Norway,NFC
5505,LED Desk Lamp,505,118610.48,2023-04-01,99 Beech Road - Oslo - Norway,NFC
3272,Formal Blazer,69,63521.22,2025-01-12,79 Arctic Way - Tampere - Finland,Paypal
1921,Protein Bar,551,23889.75,2024-01-06,78 Oak Lane - Toronto - Canada,Paypal
6546,Face Moisturizer,358,28791.77,2025-04-13,36 Cypress Square - Madrid - Spain,Paypal
9879,Rubik's Cube,314,113380.75,2023-07-21,61 Moorland Boulevard - Manchester - UK,Buy now pay later
1638,Pull-Up Bar,443,1215.71,2023-06-09,56 Pine Road - Auckland - New Zealand,NFC
9583,Pull-Up Bar,276,116471.6,2025-04-25,90 Forest Place - Ghent - Belgium,Cash On Delivery
9277,Spiral Notebook,157,7493.79,2023-09-18,26 Beachfront Drive - Cancun - Mexico,NFC
3767,Probiotic Capsules,301,52511.99,2023-03-30,37 Canal Court - Rotterdam - Netherlands,credit/debit cards
7317,Dumbbells,406,107234.87,2025-07-19,48 Riverside Mews - Shanghai - China,Buy now pay later
2652,Ballpoint Pens,384,54649.5,2025-04-14,22 Temple Boulevard - Chiang Mai - Thailand,Apple Pay
8581,Vitamin C Tablets,106,110204.9,2025-12-28,68 Desert Road - Seville - Spain,Paypal
8005,Salad Spinner,522,13483.0,2024-12-13,11 Volcano Avenue - Naples - Italy,NFC
4545,Green Tea,168,68570.99,2024-07-24,25 Rowan Boulevard - Zurich - Switzerland,Apple Pay
1679,Shaving Kit,458,78072.63,2025-03-05,22 Temple Boulevard - Chiang Mai - Thailand,Buy now pay later
10707,Hot Sauce,183,119383.54,2025-07-23,99 Beech Road - Oslo - Norway,Google Pay
5457,Protein Shaker,48,12588.53,2025-01-16,78 Oak Lane - Toronto - Canada,Apple Pay
9932,Whiteboard Markers,554,45404.65,2024-01-25,32 Aurora Drive - Stavanger - Norway,Google Pay
7779,Non-Stick Pan,333,88370.28,2025-11-13,99 Beech Road - Oslo - Norway,Apple Pay
8784,File Folders,130,131313.74,2025-04-12,77 Poplar Place - Seoul - South Korea,Cash On Delivery
8599,Dish Rack,14,113677.83,2025-10-29,54 Orchid Road - Kuala Lumpur - Malaysia,Buy now pay later
2946,Highlighter Set,84,113439.49,2024-10-25,98 Sauna Court - Turku - Finland,NFC
4639,Rubik's Cube,106,69326.53,2024-06-24,23 Promenade Drive - Munich - Germany,NFC
5667,Dumbbells,515,75638.02,2025-09-20,33 Pearl Square - Cebu - Philippines,Buy now pay later
5978,Resistance Bands,109,115058.34,2024-12-27,14 Laurel Lane - Copenhagen - Denmark,Paypal
1438,Non-Stick Pan,101,116537.93,2025-07-04,90 Forest Place - Ghent - Belgium,Buy now pay later
6466,Baseball Cap,468,107515.95,2025-11-13,12 Terrace Square - Christchurch - New Zealand,Buy now pay later
2543,Ballpoint Pens,490,109698.97,2023-12-16,65 Petal Lane - Dhaka - Bangladesh,credit/debit cards
8434,Sunscreen SPF50,127,117878.05,2023-09-02,69 Redwood Mews - Rome - Italy,Google Pay
7831,Noise-Cancelling Headphones,366,15289.12,2023-07-14,23 Promenade Drive - Munich - Germany,Cash On Delivery
10226,Screen Protector,303,39247.92,2024-12-14,55 Magnolia Mews - São Paulo - Brazil,Paypal
8448,Wireless Earbuds,326,130802.5,2025-08-10,10 Hanok Way - Incheon - South Korea,Cash On Delivery
4666,Protein Bar,182,73022.83,2026-02-20,39 Vineyard Close - Lyon - France,NFC
10676,Protein Bar,421,23685.66,2023-03-01,33 Pearl Square - Cebu - Philippines,NFC
5108,Gaming Mouse,491,67434.17,2023-01-24,46 Sunset Way - Nairobi - Kenya,Apple Pay
4258,Smart Watch,407,86553.33,2025-03-15,88 Coral Way - Bali - Indonesia,Paypal
10056,Building Blocks,503,110991.73,2023-11-29,43 Aztec Boulevard - Guadalajara - Mexico,Buy now pay later
4704,Electric Toothbrush,73,108842.39,2024-07-24,72 Meadow Way - Osaka - Japan,NFC
1763,Blender,370,6643.63,2023-04-23,25 Rowan Boulevard - Zurich - Switzerland,Google Pay
5696,Highlighter Set,555,60799.3,2023-04-19,67 Walnut Street - Paris - France,Buy now pay later
8957,Cotton T-Shirt,304,2802.82,2024-09-22,43 Aztec Boulevard - Guadalajara - Mexico,Cash On Delivery
2894,Flip Flops,524,119020.19,2025-03-26,98 Sauna Court - Turku - Finland,credit/debit cards
5629,Salad Spinner,202,23343.04,2025-11-08,68 Desert Road - Seville - Spain,Apple Pay
2299,Trail Mix,499,83752.4,2024-08-01,45 Elm Avenue - New York - USA,Apple Pay
7865,Chess Set,522,76484.51,2025-02-04,89 Sakura Avenue - Kyoto - Japan,Paypal
5757,Dress Shoes,351,83840.11,2025-10-09,15 Mountain Square - Bangalore - India,NFC
4302,Nail Polish Set,395,75519.8,2024-06-03,91 Juniper Way - Lisbon - Portugal,Cash On Delivery
3269,Honey Jar,297,95903.97,2023-09-20,46 Sunset Way - Nairobi - Kenya,credit/debit cards
6645,Zinc Supplements,185,83917.87,2025-08-30,21 Zulu Square - Durban - South Africa,NFC
7698,Playing Cards,304,12143.64,2023-01-25,80 Savannah Avenue - Abuja - Nigeria,Google Pay
10404,Running Shoes,535,49177.79,2023-12-06,79 Arctic Way - Tampere - Finland,Apple Pay
5371,Cotton T-Shirt,22,73266.26,2023-06-22,66 Delta Mews - Chittagong - Bangladesh,Google Pay
2607,Hooded Sweatshirt,125,43609.22,2025-02-02,45 Cobblestone Mews - Cork - Ireland,Paypal
9327,Sandals,284,101897.4,2023-11-29,90 Forest Place - Ghent - Belgium,Paypal
7298,Rain Boots,197,42631.39,2024-02-23,87 Jasmine Drive - Jakarta - Indonesia,NFC
8003,Blender,352,111053.64,2025-02-12,67 Walnut Street - Paris - France,Buy now pay later
1972,Facial Cleanser,209,19703.17,2023-12-30,22 Sycamore Square - Mexico City - Mexico,NFC
4123,Food Processor,371,103111.25,2024-03-15,91 Juniper Way - Lisbon - Portugal,Cash On Delivery
8679,Yoga Mat,71,24623.56,2024-08-20,80 Savannah Avenue - Abuja - Nigeria,Apple Pay
9323,Wool Sweater,194,70777.63,2023-06-08,11 Chestnut Close - Mumbai - India,Google Pay
5352,Sandals,389,42983.25,2026-01-04,22 Sycamore Square - Mexico City - Mexico,Paypal
9048,Digital Thermometer,269,85421.44,2026-02-26,32 Aurora Drive - Stavanger - Norway,Buy now pay later
9417,Ballpoint Pens,400,28545.08,2025-04-23,57 Valley Place - Casablanca - Morocco,Google Pay
4875,Slim Fit Jeans,358,106596.37,2023-05-27,22 Sycamore Square - Mexico City - Mexico,Apple Pay
9981,Frisbee,192,76881.75,2024-07-20,56 Montmartre Road - Marseille - France,Buy now pay later
3883,Action Figure,246,128278.74,2024-03-07,87 Viking Place - Malmo - Sweden,NFC
3395,Hand Sanitizer,536,95392.48,2023-08-02,15 Mountain Square - Bangalore - India,Google Pay
7825,Hiking Boots,535,81410.99,2025-10-28,77 Poplar Place - Seoul - South Korea,Buy now pay later
7368,File Folders,33,111117.2,2024-05-15,90 Forest Place - Ghent - Belgium,Apple Pay
2397,First Aid Kit,396,29475.01,2025-02-12,23 Promenade Drive - Munich - Germany,credit/debit cards
9328,Water Gun,280,84806.33,2025-03-29,87 Viking Place - Malmo - Sweden,Cash On Delivery
2999,Slim Fit Jeans,14,52343.93,2024-01-26,70 Fjord Lane - Gothenburg - Sweden,Cash On Delivery
9049,Trail Mix,357,99681.8,2024-02-28,21 Zulu Square - Durban - South Africa,Buy now pay later
1073,Yoga Mat,26,3325.29,2026-02-13,12 Terrace Square - Christchurch - New Zealand,Cash On Delivery
8969,Pull-Up Bar,186,57341.55,2025-08-29,33 Spruce Street - Amsterdam - Netherlands,NFC
8870,Nail Polish Set,388,87346.03,2024-08-22,90 Forest Place - Ghent - Belgium,Cash On Delivery
8804,Chess Set,454,61752.3,2024-09-28,11 Volcano Avenue - Naples - Italy,credit/debit cards
7649,Cable Organizer,237,31924.91,2023-02-01,80 Savannah Avenue - Abuja - Nigeria,Apple Pay
5716,Shaving Kit,452,62249.26,2023-09-15,26 Beachfront Drive - Cancun - Mexico,credit/debit cards
8052,Skipping Rope,468,113874.77,2023-01-30,66 Delta Mews - Chittagong - Bangladesh,Cash On Delivery
3771,Lip Balm,256,27754.56,2025-08-08,13 Tundra Boulevard - Bergen - Norway,Buy now pay later
8808,Windbreaker,107,49231.94,2026-01-11,69 Redwood Mews - Rome - Italy,Apple Pay
6557,Webcam HD,371,132707.6,2023-07-28,39 Vineyard Close - Lyon - France,Apple Pay
5589,Lip Balm,21,122323.65,2023-12-12,76 Carnival Close - Brasilia - Brazil,NFC
6056,Crossbody Bag,498,4597.72,2024-03-03,45 Cobblestone Mews - Cork - Ireland,Buy now pay later
6687,Lip Balm,224,71087.96,2025-08-15,35 Coastal Drive - Porto - Portugal,Apple Pay
1372,First Aid Kit,425,8809.88,2024-05-06,87 Jasmine Drive - Jakarta - Indonesia,Google Pay
2398,Spiral Notebook,412,123808.91,2023-03-14,80 Ivy Court - Vienna - Austria,Google Pay
3455,Face Moisturizer,270,59194.52,2024-11-27,76 Bamboo Street - Bangkok - Thailand,credit/debit cards
2145,Webcam HD,540,56099.1,2023-07-11,54 Orchid Road - Kuala Lumpur - Malaysia,Cash On Delivery
5396,Nail Polish Set,445,36609.9,2025-02-04,87 Viking Place - Malmo - Sweden,Buy now pay later
7684,Slip-On Loafers,492,76243.48,2025-10-06,26 Beachfront Drive - Cancun - Mexico,Paypal
7544,Sunglasses,64,19470.76,2023-04-10,24 Breeze Mews - Accra - Ghana,Paypal
5711,Hiking Boots,276,107071.28,2026-03-13,89 Sakura Avenue - Kyoto - Japan,Apple Pay
9551,Granola,529,65847.43,2025-02-24,46 Sunset Way - Nairobi - Kenya,Paypal
6652,Coffee Maker,454,75927.87,2023-03-23,58 Atlas Lane - Marrakech - Morocco,Cash On Delivery
1792,Dumbbells,260,112677.25,2023-10-03,35 Coastal Drive - Porto - Portugal,Cash On Delivery
8650,Canvas Sneakers,52,24849.05,2023-08-04,21 Lotus Avenue - Singapore,Buy now pay later
6746,Denim Jacket,166,23514.1,2025-11-05,87 Viking Place - Malmo - Sweden,credit/debit cards
7347,Vitamin C Tablets,324,56415.86,2025-05-04,22 Temple Boulevard - Chiang Mai - Thailand,NFC
6654,Formal Blazer,361,105353.07,2024-03-27,65 Lighthouse Road - Odense - Denmark,credit/debit cards
6536,Sunscreen SPF50,514,7889.95,2024-09-23,12 Baker Street - London - UK,Paypal
1905,First Aid Kit,64,106564.29,2024-02-28,43 Mango Hill - Istanbul - Turkey,Paypal
6592,Desk Planner,228,67126.2,2024-05-04,32 Blossom Court - Manila - Philippines,NFC
8949,Portable Charger,161,75298.35,2025-01-27,44 Olive Court - Thessaloniki - Greece,Buy now pay later
4039,Water Filter,534,75649.65,2023-09-04,45 Cobblestone Mews - Cork - Ireland,Apple Pay
7028,Electric Kettle,104,7571.39,2025-06-16,22 Sycamore Square - Mexico City - Mexico,Buy now pay later
1308,Cargo Shorts,133,33505.47,2026-01-16,88 Hazel Hill - Cape Town - South Africa,Apple Pay
4475,Cotton T-Shirt,175,101223.14,2026-02-18,44 Olive Court - Thessaloniki - Greece,Buy now pay later
5367,Face Moisturizer,71,55272.75,2023-08-09,98 Garden Boulevard - Karachi - Pakistan,Google Pay
10828,Cutting Board,362,75131.38,2024-05-11,55 Marina Close - Penang - Malaysia,NFC
3146,Air Fryer,298,126617.09,2023-11-24,12 Baker Street - London - UK,NFC
3765,Spice Rack,316,6245.82,2025-01-23,81 Lakeside Place - Busan - South Korea,Paypal
5085,Rice Cooker,505,60284.3,2024-01-31,78 Oak Lane - Toronto - Canada,Buy now pay later
10927,Slim Fit Jeans,248,48441.87,2024-04-21,54 Windmill Mews - Utrecht - Netherlands,Paypal
9534,Foam Roller,182,14306.9,2023-07-01,88 Hazel Hill - Cape Town - South Africa,Paypal
1346,Multivitamin,217,127410.87,2024-10-29,99 Beech Road - Oslo - Norway,credit/debit cards
3339,Face Moisturizer,447,128839.53,2024-10-01,44 Willow Walk - Beijing - China,Apple Pay
9217,Ballpoint Pens,300,41772.8,2024-10-19,25 Rowan Boulevard - Zurich - Switzerland,Cash On Delivery
1583,Heating Pad,105,126864.64,2024-02-20,72 Meadow Way - Osaka - Japan,NFC
9557,Highlighter Set,387,4759.17,2025-06-11,57 Glacier Mews - Geneva - Switzerland,Paypal
3814,Hooded Sweatshirt,418,131443.13,2024-12-23,67 Hutong Lane - Chengdu - China,Paypal
10177,Food Processor,149,112024.52,2023-08-14,56 Montmartre Road - Marseille - France,Paypal
3936,Pull-Up Bar,315,28758.04,2024-03-21,90 Ash Way - Tokyo - Japan,credit/debit cards
5343,Protein Shaker,319,80359.66,2025-02-22,50 Hillside Road - Melbourne - Australia,Buy now pay later
7619,Canvas Sneakers,108,106983.45,2023-06-06,56 Montmartre Road - Marseille - France,Google Pay
2262,Smart Plug,18,42819.1,2024-03-03,66 Fir Avenue - Stockholm - Sweden,Paypal
6570,Rice Cooker,403,47434.22,2025-10-24,44 Olive Court - Thessaloniki - Greece,Cash On Delivery
6050,Sparkling Water,347,84301.36,2024-06-14,50 Hillside Road - Melbourne - Australia,Paypal
8839,Sunglasses,400,19751.44,2024-09-01,66 Fir Avenue - Stockholm - Sweden,Apple Pay
10962,Instant Coffee,218,15882.37,2025-03-18,34 Birch Boulevard - Berlin - Germany,Buy now pay later
7643,Slip-On Loafers,293,33510.09,2024-01-28,76 Bamboo Street - Bangkok - Thailand,NFC
5092,Spice Rack,546,99342.73,2025-09-01,12 Baker Street - London - UK,Buy now pay later
5064,Eye Cream,136,49155.19,2023-02-10,47 Holly Drive - Helsinki - Finland,Apple Pay
5180,Dumbbells,367,68010.52,2024-07-20,92 Savanna Road - Johannesburg - South Africa,Paypal
9141,Yoga Mat,85,26229.02,2024-12-11,58 Atlas Lane - Marrakech - Morocco,Paypal
4212,Toaster Oven,49,26048.87,2023-10-25,48 Riverside Mews - Shanghai - China,credit/debit cards
2669,Webcam HD,532,87178.5,2025-07-12,33 Pearl Square - Cebu - Philippines,Apple Pay
4343,Protein Bar,84,14564.87,2023-04-24,67 Walnut Street - Paris - France,Paypal
1227,Fish Oil Capsules,369,89507.9,2025-02-09,54 Orchid Road - Kuala Lumpur - Malaysia,credit/debit cards
2061,Bluetooth Speaker,292,53723.4,2025-01-21,11 Volcano Avenue - Naples - Italy,Apple Pay
1900,Spice Rack,452,89967.39,2025-07-18,89 Cedar Court - Dublin - Ireland,NFC
8716,Electric Toothbrush,310,51181.96,2023-09-18,13 Tundra Boulevard - Bergen - Norway,NFC
8224,Rubik's Cube,391,113380.17,2023-07-20,66 Fir Avenue - Stockholm - Sweden,Paypal
